month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q17,Peak,5288.314,585,9.037283
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q18,Off-Peak,10995.155,1598,6.87656
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q18,Peak,6562.353,1044,6.2856264
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q18,Off-Peak,4421.4688,593,7.450902
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q18,Peak,1602.7739,225,7.1128407
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q19,Off-Peak,7610.2007,797,9.545518
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q19,Peak,3981.157,449,8.84919
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q19,Off-Peak,2101.962,209,10.041007
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q19,Peak,1049.291,103,10.096969
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q2,Off-Peak,12527.587,1361,9.198477
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q2,Peak,5151.247,655,7.8555546
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q2,Off-Peak,4243.164,418,10.142315
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q2,Peak,1449.183,152,9.511641
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q20A,Off-Peak,17474.338,2353,7.426383
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q20A,Peak,6021.605,925,6.505239
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q20A,Off-Peak,10819.923,1315,8.224932
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q20A,Peak,3662.6,463,7.895652
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q20B,Off-Peak,13189.461,1896,6.9552054
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q20B,Peak,6050.832,926,6.5309844
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q20B,Off-Peak,506.175,68,7.3647475
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q20B,Peak,211.555,30,6.8264346
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q21,Off-Peak,5167.054,430,12.010306
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q21,Peak,1630.5941,153,10.601065
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q21,Off-Peak,2204.5361,181,12.171893
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q21,Peak,787.35205,68,11.520445
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q22,Off-Peak,21895.736,2107,10.391185
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q22,Peak,9041.083,935,9.65952
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q22,Off-Peak,8408.195,729,11.5200615
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q22,Peak,3064.946,268,11.403248
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q23,Off-Peak,19832.904,2904,6.82734
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q23,Peak,10645.097,1776,5.9909854
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q23,Off-Peak,7993.166,1135,7.0362706
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q23,Peak,3157.58,465,6.7803607
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q24,Off-Peak,19248.969,2582,7.454015
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q24,Peak,7816.428,1209,6.463688
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q24,Off-Peak,7744.6943,908,8.523852
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q24,Peak,2933.652,372,7.883889
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q25,Off-Peak,30292.635,3972,7.625252
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q25,Peak,19912.334,2794,7.1260047
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q25,Off-Peak,10237.144,1344,7.6156697
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q25,Peak,3635.7139,497,7.3025694
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q26,Off-Peak,1694.9149,174,9.727023
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q26,Peak,2814.05,325,8.643508
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q26,Off-Peak,81.026,7,10.491821
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q26,Peak,133.665,13,9.739388
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q27,Off-Peak,59791.56,6475,9.233954
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q27,Peak,27682.137,3237,8.551322
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q27,Off-Peak,19449.633,1998,9.730877
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q27,Peak,7891.433,829,9.51015
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q28,Off-Peak,17656.004,1905,9.263596
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q28,Peak,8413.461,998,8.428794
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q28,Off-Peak,5483.971,555,9.8791895
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q28,Peak,2175.101,231,9.376154
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q29,Off-Peak,7352.685,927,7.928748
